Adam,Michalski,M,1974-10-08,Grudziądz,Polska,"Głównym celem tej pracy jest przygotowanie podopiecznych do aktywnego uczestnictwa w życiu społecznym i zawodowym. Przekazuje im nie tylko wiedzę teoretyczną, ale także ucząc praktycznych umiejętności i wartości. Pomaga odkrywać talenty i rozwijać pasje."
Albert,Dąbrowski,M,1970-05-27,Grudziądz,Polska,"Zajmuje się on utrzymaniem w należytym stanie technicznym wszelkich pojazdów i maszyn. Jego praca wymaga doskonałej znajomości zasad działania silników, układów hamulcowych i kierowniczych. Precyzja i skrupulatność to jego cechy charakterystyczne."
Albert,Sikora,M,1960-07-25,Grudziądz,Polska,"Osoba ta zgłębia zasady rządzące funkcjonowaniem atomów, cząsteczek i większych struktur. Zajmuje się badaniem właściwości materiałów i ich interakcji. Jej prace pomagają rozwijać nowe technologie."
Albert,Skiba,M,1991-03-21,Grudziądz,Polska,"Opracowuje zasady i metody przeprowadzania badań, które pozwalają lepiej zrozumieć otaczający nas świat. Jego praca ma na celu odkrywanie nowych praw i zależności. Wyniki jego badań mogą mieć ogromne znaczenie praktyczne."
Antoni,Zając,M,1967-08-08,Grudziądz,Polska,"Ściga przestępców, dbając o to, by nikt nie pozostał bezkarny za popełnione czyny. Przeszukuje miejsca zdarzeń, zbiera dowody i składając zeznania w sądzie. Jego celem jest utrzymanie praworządności."
Antoni,Sadowski,M,1951-04-02,Grudziądz,Polska,"Ta specjalistka pomaga ludziom zrozumieć, dlaczego zachowują się w określony sposób i jak mogą to zmienić na lepsze. Jej interwencje mogą dotyczyć problemów z koncentracją, motywacją czy relacjami. Stosuje techniki mające na celu transformację wewnętrzną."
Bartłomiej,Kłos,M,1977-10-14,Grudziądz,Polska,"Jest odpowiedzialny za estetykę i funkcjonalność tworzonych obiektów budowlanych. Przekłada wizje inwestora na konkretne plany, uwzględniając przepisy i materiały. Jego praca nadaje znaczenie przestrzeniom, w których przebywamy."
Bartłomiej,Borowski,M,1955-07-07,Grudziądz,Polska,"Ta profesja wymaga nie tylko wiedzy merytorycznej, ale także umiejętności pedagogicznych i psychologicznych. Pomaga kształtować charaktery, uczy wartości i przygotowuje do wyzwań przyszłości. Jest ważnym ogniwem w rozwoju jednostki."
Bartosz,Kwiatkowski,M,1969-08-31,Grudziądz,Polska,"Ten fachowiec kształtuje przestrzeń poprzez budowanie ścian. Używa materiałów takich jak cegły czy bloczki, łącząc je specjalną masą. Jego precyzja jest kluczowa dla konstrukcji i estetyki budynku."
Bogdan,Piekarski,M,1980-02-05,Grudziądz,Polska,"Jej rola w społeczeństwie jest nie do przecenienia, ponieważ kształtuje przyszłe pokolenia. Dba o to, by proces nauczania był angażujący i dostosowany do indywidualnych potrzeb. Jest wsparciem dla rozwoju."
Borys,Sikora,M,1954-03-14,Grudziądz,Polska,"Pracuje nad odkryciem i rozwojem nowych antybiotyków i innych środków przeciwdrobnoustrojowych, badając sposoby walki z narastającą opornością bakteryjną. Jego działania mają na celu ochronę zdrowia publicznego."
